forecast_hour,dimension,group,n,mean_residual_ug_m3,mae_ug_m3,residual_sd_ug_m3
72,target_month,5,749,-0.14574701343916954,8.350901587778193,12.632972394660298
72,target_month,6,740,-2.4701024221133254,9.470069561350693,13.824341298898759
72,target_month,7,801,-3.269112190772486,10.300028513847204,17.56526905963723
72,target_month,8,825,-19.089200953718404,28.01945260460913,58.3837986455955
72,target_local_hour,7,4630,-5.33717002737191,13.867853587025468,30.205996414285597
72,target_local_hour,8,1218,-1.6574686539165275,7.359527072224773,23.521680147273287
72,target_local_hour,9,236,0.0663510771253418,3.304952728163523,4.647449044982964
72,station,BANJARBARU2,241,-10.98039844594158,18.092435194724832,50.299753553654874
72,station,BATAM2,231,-1.4677178357291079,5.928418008287747,14.264959158329765
72,station,BENGKULU,231,-6.956714083381731,17.827405907892384,26.373457647722507
72,station,INDRAPURI2,228,2.0036836507181177,4.023368631165594,4.647854585155736
72,station,JAMBI3,238,-5.32958890934999,11.611056653966084,16.2231721657735
72,station,JAMBI4,231,-4.388039026633302,10.39505977472211,15.280842097201441
72,station,KEMAYORAN3,241,0.005093012157622008,13.722860743687088,17.871901090238804
72,station,KOTABARU,233,0.8330966789987736,4.800526791919001,6.485101533358893
72,station,KOTOTABANG2,222,0.6030564177898474,5.399811458430817,7.092260858028947
72,station,MALANG,235,3.8586023933154214,9.973968020505003,11.762225083452417
72,station,MAROS,239,0.026039713996505495,5.882724886940241,7.861124705926265
72,station,MEDAN2,237,-3.447362665804427,15.208564523104599,19.819871468748957
72,station,MLATI,240,-0.3333443314364631,12.683806036429178,16.34727724816763
72,station,PALANGKARAYA2,225,-3.0756274701572583,9.078732464522961,21.63105556723484
72,station,PALEMBANG3,235,-7.071825281057229,14.350200845639723,18.5920447113521
72,station,PALEMBANG4,240,-9.412122370493737,13.586951371794676,18.56064519224923
72,station,PALU,76,-0.7821902440271709,3.7259078484822292,4.8442241329342695
72,station,PANGKALANBUN2,231,-5.615750859232484,9.258487491038451,21.833739604400506
72,station,PEKANBARU2,235,-3.342785851903166,13.96692570032358,24.971621891560076
72,station,PESAWARAN,219,0.47972759503547574,14.35552822961831,18.371803623228736
72,station,PONTIANAK2,234,-21.8612797416219,28.968562884808673,61.68045018545492
72,station,SAMARINDA2,230,1.62280454081792,4.099883998374558,4.9481058836301095
72,station,SEMARANG,240,2.3384969892073935,10.752089233091867,13.770740449573758
72,station,SINTANG,199,-11.528809326319081,16.228225936331697,54.495400946766274
72,station,SORONG,236,0.0663510771253418,3.304952728163523,4.647449044982964
72,station,SUPADIO,238,-32.12434265875959,39.12148688302006,70.36454750864968
72,station,TANJUNGHARAPAN2,199,0.5695758859681117,4.286385856454507,6.232817765789779
