split,forecast_hour,station_code,issue_rows,valid_targets,cams_rows,valid_target_pct,cams_coverage_pct
train,3,BANJARBARU2,731,706,724,96.58002735978113,99.04240766073872
train,3,BATAM2,731,722,731,98.7688098495212,100.0
train,3,BENGKULU,731,708,724,96.85362517099863,99.04240766073872
train,3,INDRAPURI2,731,696,731,95.21203830369357,100.0
train,3,JAMBI3,731,654,724,89.46648426812585,99.04240766073872
train,3,JAMBI4,731,700,724,95.75923392612859,99.04240766073872
train,3,KEMAYORAN3,731,718,724,98.22161422708618,99.04240766073872
train,3,KOTABARU,731,716,724,97.94801641586868,99.04240766073872
train,3,KOTOTABANG2,731,632,724,86.45690834473324,99.04240766073872
train,3,MALANG,731,698,724,95.48563611491107,99.04240766073872
train,3,MAROS,731,700,724,95.75923392612859,99.04240766073872
train,3,MEDAN2,731,694,731,94.93844049247606,100.0
train,3,MLATI,731,715,724,97.81121751025992,99.04240766073872
train,3,PALANGKARAYA2,731,677,724,92.61285909712723,99.04240766073872
train,3,PALEMBANG3,731,706,724,96.58002735978113,99.04240766073872
train,3,PALEMBANG4,731,710,724,97.12722298221614,99.04240766073872
train,3,PALU,731,408,724,55.81395348837209,99.04240766073872
train,3,PANGKALANBUN2,731,693,724,94.8016415868673,99.04240766073872
train,3,PEKANBARU2,731,711,731,97.2640218878249,100.0
train,3,PESAWARAN,731,715,724,97.81121751025992,99.04240766073872
train,3,PONTIANAK2,731,709,731,96.99042407660738,100.0
train,3,SAMARINDA2,731,678,724,92.74965800273598,99.04240766073872
train,3,SEMARANG,731,701,724,95.89603283173734,99.04240766073872
train,3,SINTANG,731,685,731,93.70725034199727,100.0
train,3,SORONG,731,639,724,87.41450068399453,99.04240766073872
train,3,SUPADIO,731,722,724,98.7688098495212,99.04240766073872
train,3,TANJUNGHARAPAN2,731,699,731,95.62243502051983,100.0
train,6,BANJARBARU2,731,713,724,97.53761969904241,99.04240766073872
train,6,BATAM2,731,723,731,98.90560875512996,100.0
train,6,BENGKULU,731,714,724,97.67441860465117,99.04240766073872
train,6,INDRAPURI2,731,677,731,92.61285909712723,100.0
train,6,JAMBI3,731,654,724,89.46648426812585,99.04240766073872
train,6,JAMBI4,731,698,724,95.48563611491107,99.04240766073872
train,6,KEMAYORAN3,731,719,724,98.35841313269493,99.04240766073872
train,6,KOTABARU,731,711,724,97.2640218878249,99.04240766073872
train,6,KOTOTABANG2,731,630,724,86.18331053351574,99.04240766073872
train,6,MALANG,731,700,724,95.75923392612859,99.04240766073872
train,6,MAROS,731,706,724,96.58002735978113,99.04240766073872
train,6,MEDAN2,731,697,731,95.34883720930233,100.0
train,6,MLATI,731,714,724,97.67441860465117,99.04240766073872
train,6,PALANGKARAYA2,731,678,724,92.74965800273598,99.04240766073872
train,6,PALEMBANG3,731,716,724,97.94801641586868,99.04240766073872
train,6,PALEMBANG4,731,709,724,96.99042407660738,99.04240766073872
train,6,PALU,731,413,724,56.49794801641587,99.04240766073872
train,6,PANGKALANBUN2,731,653,724,89.3296853625171,99.04240766073872
train,6,PEKANBARU2,731,709,731,96.99042407660738,100.0
train,6,PESAWARAN,731,713,724,97.53761969904241,99.04240766073872
train,6,PONTIANAK2,731,714,731,97.67441860465117,100.0
train,6,SAMARINDA2,731,683,724,93.43365253077975,99.04240766073872
train,6,SEMARANG,731,698,724,95.48563611491107,99.04240766073872
train,6,SINTANG,731,673,731,92.0656634746922,100.0
train,6,SORONG,731,646,724,88.37209302325581,99.04240766073872
train,6,SUPADIO,731,713,724,97.53761969904241,99.04240766073872
train,6,TANJUNGHARAPAN2,731,691,731,94.52804377564979,100.0
train,12,BANJARBARU2,731,718,724,98.22161422708618,99.04240766073872
train,12,BATAM2,731,719,731,98.35841313269493,100.0
train,12,BENGKULU,731,710,724,97.12722298221614,99.04240766073872
train,12,INDRAPURI2,731,705,731,96.44322845417237,100.0
train,12,JAMBI3,731,663,724,90.69767441860465,99.04240766073872
train,12,JAMBI4,731,700,724,95.75923392612859,99.04240766073872
train,12,KEMAYORAN3,731,719,724,98.35841313269493,99.04240766073872
train,12,KOTABARU,731,724,724,99.04240766073872,99.04240766073872
train,12,KOTOTABANG2,731,672,724,91.92886456908344,99.04240766073872
train,12,MALANG,731,694,724,94.93844049247606,99.04240766073872
train,12,MAROS,731,710,724,97.12722298221614,99.04240766073872
train,12,MEDAN2,731,696,731,95.21203830369357,100.0
train,12,MLATI,731,721,724,98.63201094391245,99.04240766073872
train,12,PALANGKARAYA2,731,703,724,96.16963064295486,99.04240766073872
train,12,PALEMBANG3,731,721,724,98.63201094391245,99.04240766073872
train,12,PALEMBANG4,731,709,724,96.99042407660738,99.04240766073872
train,12,PALU,731,412,724,56.36114911080711,99.04240766073872
train,12,PANGKALANBUN2,731,702,724,96.0328317373461,99.04240766073872
train,12,PEKANBARU2,731,715,731,97.81121751025992,100.0
train,12,PESAWARAN,731,714,724,97.67441860465117,99.04240766073872
train,12,PONTIANAK2,731,716,731,97.94801641586868,100.0
train,12,SAMARINDA2,731,695,724,95.07523939808482,99.04240766073872
train,12,SEMARANG,731,703,724,96.16963064295486,99.04240766073872
train,12,SINTANG,731,708,731,96.85362517099863,100.0
train,12,SORONG,731,656,724,89.74008207934337,99.04240766073872
train,12,SUPADIO,731,727,724,99.45280437756497,99.04240766073872
train,12,TANJUNGHARAPAN2,731,702,731,96.0328317373461,100.0
train,24,BANJARBARU2,731,711,723,97.2640218878249,98.90560875512996
train,24,BATAM2,731,720,730,98.49521203830369,99.86320109439124
train,24,BENGKULU,731,709,723,96.99042407660738,98.90560875512996
train,24,INDRAPURI2,731,679,730,92.88645690834473,99.86320109439124
train,24,JAMBI3,731,636,723,87.00410396716826,98.90560875512996
train,24,JAMBI4,731,697,723,95.34883720930233,98.90560875512996
train,24,KEMAYORAN3,731,718,723,98.22161422708618,98.90560875512996
train,24,KOTABARU,731,724,723,99.04240766073872,98.90560875512996
train,24,KOTOTABANG2,731,644,723,88.0984952120383,98.90560875512996
train,24,MALANG,731,703,723,96.16963064295486,98.90560875512996
train,24,MAROS,731,705,723,96.44322845417237,98.90560875512996
train,24,MEDAN2,731,698,730,95.48563611491107,99.86320109439124
train,24,MLATI,731,716,723,97.94801641586868,98.90560875512996
train,24,PALANGKARAYA2,731,689,723,94.25444596443228,98.90560875512996
train,24,PALEMBANG3,731,711,723,97.2640218878249,98.90560875512996
train,24,PALEMBANG4,731,707,723,96.71682626538988,98.90560875512996
train,24,PALU,731,407,723,55.677154582763336,98.90560875512996
train,24,PANGKALANBUN2,731,703,723,96.16963064295486,98.90560875512996
train,24,PEKANBARU2,731,709,730,96.99042407660738,99.86320109439124
train,24,PESAWARAN,731,714,723,97.67441860465117,98.90560875512996
train,24,PONTIANAK2,731,713,730,97.53761969904241,99.86320109439124
train,24,SAMARINDA2,731,689,723,94.25444596443228,98.90560875512996
train,24,SEMARANG,731,702,723,96.0328317373461,98.90560875512996
train,24,SINTANG,731,694,730,94.93844049247606,99.86320109439124
train,24,SORONG,731,653,723,89.3296853625171,98.90560875512996
train,24,SUPADIO,731,720,723,98.49521203830369,98.90560875512996
train,24,TANJUNGHARAPAN2,731,705,730,96.44322845417237,99.86320109439124
train,48,BANJARBARU2,731,711,722,97.2640218878249,98.7688098495212
train,48,BATAM2,731,720,729,98.49521203830369,99.72640218878249
train,48,BENGKULU,731,709,722,96.99042407660738,98.7688098495212
train,48,INDRAPURI2,731,679,729,92.88645690834473,99.72640218878249
train,48,JAMBI3,731,636,722,87.00410396716826,98.7688098495212
train,48,JAMBI4,731,697,722,95.34883720930233,98.7688098495212
train,48,KEMAYORAN3,731,718,722,98.22161422708618,98.7688098495212
train,48,KOTABARU,731,724,722,99.04240766073872,98.7688098495212
train,48,KOTOTABANG2,731,644,722,88.0984952120383,98.7688098495212
train,48,MALANG,731,703,722,96.16963064295486,98.7688098495212
train,48,MAROS,731,705,722,96.44322845417237,98.7688098495212
train,48,MEDAN2,731,698,729,95.48563611491107,99.72640218878249
train,48,MLATI,731,716,722,97.94801641586868,98.7688098495212
train,48,PALANGKARAYA2,731,689,722,94.25444596443228,98.7688098495212
train,48,PALEMBANG3,731,711,722,97.2640218878249,98.7688098495212
train,48,PALEMBANG4,731,707,722,96.71682626538988,98.7688098495212
train,48,PALU,731,407,722,55.677154582763336,98.7688098495212
train,48,PANGKALANBUN2,731,703,722,96.16963064295486,98.7688098495212
train,48,PEKANBARU2,731,709,729,96.99042407660738,99.72640218878249
train,48,PESAWARAN,731,714,722,97.67441860465117,98.7688098495212
train,48,PONTIANAK2,731,713,729,97.53761969904241,99.72640218878249
train,48,SAMARINDA2,731,689,722,94.25444596443228,98.7688098495212
train,48,SEMARANG,731,702,722,96.0328317373461,98.7688098495212
train,48,SINTANG,731,694,729,94.93844049247606,99.72640218878249
train,48,SORONG,731,653,722,89.3296853625171,98.7688098495212
train,48,SUPADIO,731,720,722,98.49521203830369,98.7688098495212
train,48,TANJUNGHARAPAN2,731,705,729,96.44322845417237,99.72640218878249
train,72,BANJARBARU2,731,711,721,97.2640218878249,98.63201094391245
train,72,BATAM2,731,720,728,98.49521203830369,99.58960328317373
train,72,BENGKULU,731,709,721,96.99042407660738,98.63201094391245
train,72,INDRAPURI2,731,679,728,92.88645690834473,99.58960328317373
train,72,JAMBI3,731,636,721,87.00410396716826,98.63201094391245
train,72,JAMBI4,731,697,721,95.34883720930233,98.63201094391245
train,72,KEMAYORAN3,731,718,721,98.22161422708618,98.63201094391245
train,72,KOTABARU,731,724,721,99.04240766073872,98.63201094391245
train,72,KOTOTABANG2,731,644,721,88.0984952120383,98.63201094391245
train,72,MALANG,731,703,721,96.16963064295486,98.63201094391245
train,72,MAROS,731,705,721,96.44322845417237,98.63201094391245
train,72,MEDAN2,731,698,728,95.48563611491107,99.58960328317373
train,72,MLATI,731,716,721,97.94801641586868,98.63201094391245
train,72,PALANGKARAYA2,731,689,721,94.25444596443228,98.63201094391245
train,72,PALEMBANG3,731,711,721,97.2640218878249,98.63201094391245
train,72,PALEMBANG4,731,707,721,96.71682626538988,98.63201094391245
train,72,PALU,731,407,721,55.677154582763336,98.63201094391245
train,72,PANGKALANBUN2,731,703,721,96.16963064295486,98.63201094391245
train,72,PEKANBARU2,731,709,728,96.99042407660738,99.58960328317373
train,72,PESAWARAN,731,714,721,97.67441860465117,98.63201094391245
train,72,PONTIANAK2,731,713,728,97.53761969904241,99.58960328317373
train,72,SAMARINDA2,731,689,721,94.25444596443228,98.63201094391245
train,72,SEMARANG,731,702,721,96.0328317373461,98.63201094391245
train,72,SINTANG,731,694,728,94.93844049247606,99.58960328317373
train,72,SORONG,731,653,721,89.3296853625171,98.63201094391245
train,72,SUPADIO,731,720,721,98.49521203830369,98.63201094391245
train,72,TANJUNGHARAPAN2,731,705,728,96.44322845417237,99.58960328317373
validation,3,BANJARBARU2,365,361,364,98.9041095890411,99.72602739726027
validation,3,BATAM2,365,359,364,98.35616438356165,99.72602739726027
validation,3,BENGKULU,365,348,364,95.34246575342466,99.72602739726027
validation,3,INDRAPURI2,365,329,364,90.13698630136986,99.72602739726027
validation,3,JAMBI3,365,358,364,98.08219178082192,99.72602739726027
validation,3,JAMBI4,365,344,364,94.24657534246575,99.72602739726027
validation,3,KEMAYORAN3,365,359,364,98.35616438356165,99.72602739726027
validation,3,KOTABARU,365,336,364,92.05479452054794,99.72602739726027
validation,3,KOTOTABANG2,365,266,364,72.87671232876713,99.72602739726027
validation,3,MALANG,365,348,364,95.34246575342466,99.72602739726027
validation,3,MAROS,365,309,364,84.65753424657534,99.72602739726027
validation,3,MEDAN2,365,359,364,98.35616438356165,99.72602739726027
validation,3,MLATI,365,353,364,96.71232876712328,99.72602739726027
validation,3,PALANGKARAYA2,365,326,364,89.31506849315069,99.72602739726027
validation,3,PALEMBANG3,365,361,364,98.9041095890411,99.72602739726027
validation,3,PALEMBANG4,365,337,364,92.32876712328768,99.72602739726027
validation,3,PALU,365,0,364,0.0,99.72602739726027
validation,3,PANGKALANBUN2,365,352,364,96.43835616438356,99.72602739726027
validation,3,PEKANBARU2,365,347,364,95.06849315068493,99.72602739726027
validation,3,PESAWARAN,365,350,364,95.89041095890411,99.72602739726027
validation,3,PONTIANAK2,365,353,364,96.71232876712328,99.72602739726027
validation,3,SAMARINDA2,365,351,364,96.16438356164383,99.72602739726027
validation,3,SEMARANG,365,343,364,93.97260273972603,99.72602739726027
validation,3,SINTANG,365,291,364,79.72602739726027,99.72602739726027
validation,3,SORONG,365,307,364,84.10958904109589,99.72602739726027
validation,3,SUPADIO,365,349,364,95.61643835616438,99.72602739726027
validation,3,TANJUNGHARAPAN2,365,272,364,74.52054794520548,99.72602739726027
validation,6,BANJARBARU2,365,361,364,98.9041095890411,99.72602739726027
validation,6,BATAM2,365,356,364,97.53424657534246,99.72602739726027
validation,6,BENGKULU,365,315,364,86.3013698630137,99.72602739726027
validation,6,INDRAPURI2,365,325,364,89.04109589041096,99.72602739726027
validation,6,JAMBI3,365,360,364,98.63013698630137,99.72602739726027
validation,6,JAMBI4,365,345,364,94.52054794520548,99.72602739726027
validation,6,KEMAYORAN3,365,354,364,96.98630136986301,99.72602739726027
validation,6,KOTABARU,365,327,364,89.58904109589041,99.72602739726027
validation,6,KOTOTABANG2,365,257,364,70.41095890410959,99.72602739726027
validation,6,MALANG,365,354,364,96.98630136986301,99.72602739726027
validation,6,MAROS,365,312,364,85.47945205479452,99.72602739726027
validation,6,MEDAN2,365,358,364,98.08219178082192,99.72602739726027
validation,6,MLATI,365,348,364,95.34246575342466,99.72602739726027
validation,6,PALANGKARAYA2,365,331,364,90.68493150684931,99.72602739726027
validation,6,PALEMBANG3,365,358,364,98.08219178082192,99.72602739726027
validation,6,PALEMBANG4,365,339,364,92.87671232876713,99.72602739726027
validation,6,PALU,365,0,364,0.0,99.72602739726027
validation,6,PANGKALANBUN2,365,342,364,93.6986301369863,99.72602739726027
validation,6,PEKANBARU2,365,348,364,95.34246575342466,99.72602739726027
validation,6,PESAWARAN,365,349,364,95.61643835616438,99.72602739726027
validation,6,PONTIANAK2,365,354,364,96.98630136986301,99.72602739726027
validation,6,SAMARINDA2,365,355,364,97.26027397260275,99.72602739726027
validation,6,SEMARANG,365,336,364,92.05479452054794,99.72602739726027
validation,6,SINTANG,365,264,364,72.32876712328768,99.72602739726027
validation,6,SORONG,365,292,364,80.0,99.72602739726027
validation,6,SUPADIO,365,344,364,94.24657534246575,99.72602739726027
validation,6,TANJUNGHARAPAN2,365,271,364,74.24657534246575,99.72602739726027
validation,12,BANJARBARU2,365,362,364,99.17808219178082,99.72602739726027
validation,12,BATAM2,365,357,364,97.8082191780822,99.72602739726027
validation,12,BENGKULU,365,350,364,95.89041095890411,99.72602739726027
validation,12,INDRAPURI2,365,333,364,91.23287671232876,99.72602739726027
validation,12,JAMBI3,365,360,364,98.63013698630137,99.72602739726027
validation,12,JAMBI4,365,334,364,91.5068493150685,99.72602739726027
validation,12,KEMAYORAN3,365,358,364,98.08219178082192,99.72602739726027
validation,12,KOTABARU,365,359,364,98.35616438356165,99.72602739726027
validation,12,KOTOTABANG2,365,293,364,80.27397260273973,99.72602739726027
validation,12,MALANG,365,354,364,96.98630136986301,99.72602739726027
validation,12,MAROS,365,316,364,86.57534246575342,99.72602739726027
validation,12,MEDAN2,365,358,364,98.08219178082192,99.72602739726027
validation,12,MLATI,365,353,364,96.71232876712328,99.72602739726027
validation,12,PALANGKARAYA2,365,355,364,97.26027397260275,99.72602739726027
validation,12,PALEMBANG3,365,360,364,98.63013698630137,99.72602739726027
validation,12,PALEMBANG4,365,341,364,93.42465753424658,99.72602739726027
validation,12,PALU,365,0,364,0.0,99.72602739726027
validation,12,PANGKALANBUN2,365,351,364,96.16438356164383,99.72602739726027
validation,12,PEKANBARU2,365,347,364,95.06849315068493,99.72602739726027
validation,12,PESAWARAN,365,351,364,96.16438356164383,99.72602739726027
validation,12,PONTIANAK2,365,358,364,98.08219178082192,99.72602739726027
