comparison_type,station_code,latitude,longitude,issue_time_utc,forecast_hour,direct_ads_pm25_ug_m3,earth_engine_pm25_ug_m3,absolute_difference_ug_m3,relative_absolute_difference_pct,earth_engine_source_image_id
native_grid,JAMBI4,-1.600000000000001,103.60000000000012,2026-01-01T00:00:00+00:00,12,18.100241305774034,18.100234200346677,7.105427357601002e-06,3.925598138481363e-05,20260101T00F012
native_grid,JAMBI4,-1.600000000000001,103.60000000000012,2026-01-01T00:00:00+00:00,24,3.411452009771665,3.4114391311845793,1.2878587085651816e-05,0.0003775104280746955,20260101T00F024
native_grid,JAMBI4,-1.600000000000001,103.60000000000012,2026-01-01T00:00:00+00:00,48,10.351135060204797,10.351147494702673,1.2434497875801753e-05,0.00012012690205933548,20260101T00F048
native_grid,JAMBI4,-1.600000000000001,103.60000000000012,2026-01-01T00:00:00+00:00,72,17.19017284074198,17.190183498883016,1.0658141036401503e-05,6.200136051652094e-05,20260101T00F072
native_grid,KOTABARU,-3.2000000000000006,116.0000000000003,2026-01-01T00:00:00+00:00,6,4.0876630968966765,4.087667981877985,4.884981308350689e-06,0.00011950547764220907,20260101T00F006
native_grid,KOTABARU,-3.2000000000000006,116.0000000000003,2026-01-01T00:00:00+00:00,12,6.906122784755553,6.906117011595825,5.773159728050814e-06,8.35948028725232e-05,20260101T00F012
native_grid,KOTABARU,-3.2000000000000006,116.0000000000003,2026-01-01T00:00:00+00:00,24,16.975894467918806,16.975898020632485,3.552713678800501e-06,2.092799107295613e-05,20260101T00F024
native_grid,KOTABARU,-3.2000000000000006,116.0000000000003,2026-01-01T00:00:00+00:00,48,6.242940830958332,6.2429315050849254,9.325873406851315e-06,0.00014938269734361285,20260101T00F048
native_grid,KOTABARU,-3.2000000000000006,116.0000000000003,2026-01-01T00:00:00+00:00,72,16.941333669251435,16.9413230111104,1.0658141036401503e-05,6.291205429561933e-05,20260101T00F072
native_grid,KOTOTABANG2,-0.4000000000000008,100.40000000000008,2026-01-01T00:00:00+00:00,6,3.3234246465951855,3.3234224261491363,2.220446049250313e-06,6.68119871929438e-05,20260101T00F006
native_grid,KOTOTABANG2,-0.4000000000000008,100.40000000000008,2026-01-01T00:00:00+00:00,12,14.758856359264882,14.758851030194364,5.329070518200751e-06,3.6107611514596954e-05,20260101T00F012
native_grid,KOTOTABANG2,-0.4000000000000008,100.40000000000008,2026-01-01T00:00:00+00:00,24,5.74162717370541,5.741621400545682,5.773159728050814e-06,0.00010054919195188798,20260101T00F024
native_grid,KOTOTABANG2,-0.4000000000000008,100.40000000000008,2026-01-01T00:00:00+00:00,48,33.09760643332993,33.09760998604361,3.552713678800501e-06,1.0734050167515588e-05,20260101T00F048
native_grid,KOTOTABANG2,-0.4000000000000008,100.40000000000008,2026-01-01T00:00:00+00:00,72,21.421369567065085,21.42138022520612,1.0658141036401503e-05,4.975471340911916e-05,20260101T00F072
native_grid,MEDAN2,3.5999999999999988,98.80000000000005,2026-01-01T00:00:00+00:00,6,14.250920443714676,14.250916002822578,4.440892098500626e-06,3.116214223523553e-05,20260101T00F006
native_grid,MEDAN2,3.5999999999999988,98.80000000000005,2026-01-01T00:00:00+00:00,12,29.163796710918177,29.163796710918177,0.0,0.0,20260101T00F012
