n,mae_ug_m3,rmse_ug_m3,bias_ug_m3,correlation,r2,split,forecast_hour,model,scope,skill_vs_persistence_pct,n_stations
8470,10.063612750885477,14.977064500060118,2.6371192443919718,0.5453906582734519,0.17836243122386763,validation,72,climatology,pooled_common_cases,8.649387254245278,
8470,14.628095374156764,23.082473407339116,2.4424952038175936,0.4697027919969287,-0.9516034464434378,validation,72,raw_cams,pooled_common_cases,-32.78387283085624,
8470,8.370037625087217,13.13470718796559,-0.751348090237626,0.6085025525995766,0.3680718825403627,validation,72,obs_lgbm,pooled_common_cases,24.022507156839612,
8470,8.365151060292611,13.038698754586543,0.06335405996503021,0.616403827461195,0.37727630434879744,validation,72,cams_lgbm,pooled_common_cases,24.06686405920253,
8470,8.430281607612105,12.95763580645551,0.5400920509813528,0.6216613115773526,0.3849953107378159,validation,72,cams_xgboost,pooled_common_cases,23.475653372406303,
8470,8.365151060292611,13.038698754586543,0.06335405996503021,0.616403827461195,0.37727630434879744,validation,72,champion,pooled_common_cases,24.06686405920253,
8470,8.36161716591766,13.048430428725812,0.05166785327487401,0.6155986190615667,0.3763463947390525,validation,72,prediction_q50,pooled_common_cases,24.098942342073858,
5918,7.615649893748421,16.48450820604208,-2.3640677778786263,0.7265153404704547,0.46937171068207423,test,3,cams_lgbm,station_balanced_common_cases,36.485111835138305,27.0
5918,7.609534571269235,16.313261948116114,-2.063946702533398,0.7286353238558652,0.47799249131930793,test,3,cams_xgboost,station_balanced_common_cases,36.31768041420049,27.0
5918,7.615649893748421,16.48450820604208,-2.3640677778786263,0.7265153404704547,0.46937171068207423,test,3,champion,station_balanced_common_cases,36.485111835138305,27.0
5918,10.601734386157434,21.436787175804447,-4.690635535831048,0.40383935486882694,0.04315630334487774,test,3,climatology,station_balanced_common_cases,7.719126134003259,27.0
5918,7.842042068984059,16.963289094897885,-2.9738141901597412,0.7111749400513199,0.4437642586297734,test,3,obs_lgbm,station_balanced_common_cases,35.037782786826625,27.0
5918,12.644099587174205,22.744871079403246,5.705796125923374,0.6235958400849634,-2.8469414647610303,test,3,persistence,station_balanced_common_cases,0.0,27.0
5918,7.619362620214166,16.434536361323943,-2.271360171268063,0.7263922174248124,0.4674779813245543,test,3,prediction_q50,station_balanced_common_cases,36.397164893826435,27.0
5918,9.94880563592326,18.714021876301153,-5.495022124515038,0.5898310080231823,0.054424293035432045,test,3,raw_cams,station_balanced_common_cases,9.142851936476537,27.0
5753,6.290049028026275,13.438005173045623,-1.5765513983920296,0.7164659271054573,0.4765370544932427,test,6,cams_lgbm,station_balanced_common_cases,47.97117514509442,27.0
5753,6.297219256451501,13.374999212864429,-1.2917637653059677,0.717483645150976,0.47553062314688693,test,6,cams_xgboost,station_balanced_common_cases,47.75812107092371,27.0
5753,6.290049028026275,13.438005173045623,-1.5765513983920296,0.7164659271054573,0.4765370544932427,test,6,champion,station_balanced_common_cases,47.97117514509442,27.0
5753,9.038544327954252,18.420351691741846,-3.842232318667155,0.4169773673561648,0.04776528915439755,test,6,climatology,station_balanced_common_cases,25.425790058365706,27.0
5753,6.609028028691302,14.198361951866232,-2.2625787034053504,0.6911606465330112,0.41788203677565267,test,6,obs_lgbm,station_balanced_common_cases,45.542155318677295,27.0
5753,14.18302400701949,25.110063245111338,9.450613807426526,0.5538593990077316,-2.649679995745364,test,6,persistence,station_balanced_common_cases,0.0,27.0
5753,6.306401245242811,13.44172814867382,-1.48409932547825,0.7149597078673587,0.47439613343992443,test,6,prediction_q50,station_balanced_common_cases,47.81469033431871,27.0
5753,7.907674360656004,14.228005791989707,-0.9487597004341659,0.6220206614253674,0.18606758889525293,test,6,raw_cams,station_balanced_common_cases,31.664619432854078,27.0
5897,10.50459749727528,16.61579324213311,-2.228062945055207,0.5814099405740324,0.3166651048904899,test,12,cams_lgbm,station_balanced_common_cases,32.901406463406346,27.0
5897,10.556124432767117,16.49592024626081,-1.4865782436550816,0.5816007422147524,0.3181802332759446,test,12,cams_xgboost,station_balanced_common_cases,32.325762453468,27.0
5897,10.50459749727528,16.61579324213311,-2.228062945055207,0.5814099405740324,0.3166651048904899,test,12,champion,station_balanced_common_cases,32.901406463406346,27.0
5897,12.838476505086064,20.417546425625492,-4.1981712550140555,0.2860365690678812,-0.0072700703459313175,test,12,climatology,station_balanced_common_cases,16.804654827400512,27.0
5897,10.723854302040703,16.91996567214432,-2.787310386906294,0.5578180128911175,0.2917526876501801,test,12,obs_lgbm,station_balanced_common_cases,31.505025645801172,27.0
5897,16.69462881080163,28.004166735668722,-1.1197661486482384,0.4263015555796451,-2.362085858978979,test,12,persistence,station_balanced_common_cases,0.0,27.0
5897,10.49433033461713,16.602469812129446,-2.216325852997528,0.5810990408427197,0.31697703220213674,test,12,prediction_q50,station_balanced_common_cases,32.98216282018503,27.0
5897,17.610476441286654,27.00119943819254,-3.908388155761253,0.4533181473004258,-0.9939074454884287,test,12,raw_cams,station_balanced_common_cases,-15.007117929138113,27.0
5859,10.836498730411595,19.554584747277477,-3.430218498993646,0.6580157071514964,0.383234048496715,test,24,cams_lgbm,station_balanced_common_cases,17.553119606104985,27.0
