model,forecast_hour,feature,gain_or_split_importance,normalized_importance_pct
cams_lgbm,6,pm25_available_fraction_12h,15.0,0.11252813203300825
cams_lgbm,6,pm25_mean_24h,542.0,4.066016504126032
cams_lgbm,6,pm25_std_24h,506.0,3.7959489872468115
cams_lgbm,6,pm25_max_24h,166.0,1.245311327831958
cams_lgbm,6,pm25_available_fraction_24h,12.0,0.0900225056264066
cams_lgbm,6,pm25_mean_72h,311.0,2.3330832708177045
cams_lgbm,6,pm25_std_72h,368.0,2.7606901725431356
cams_lgbm,6,pm25_max_72h,162.0,1.2153038259564892
cams_lgbm,6,pm25_available_fraction_72h,45.0,0.33758439609902474
cams_lgbm,6,pm25_mean_168h,371.0,2.7831957989497376
cams_lgbm,6,pm25_std_168h,267.0,2.003000750187547
cams_lgbm,6,pm25_max_168h,207.0,1.5528882220555138
cams_lgbm,6,pm25_available_fraction_168h,60.0,0.450112528132033
cams_lgbm,6,latitude,181.0,1.3578394598649663
cams_lgbm,6,longitude,194.0,1.45536384096024
cams_lgbm,6,utc_offset_hours,1.0,0.007501875468867217
cams_lgbm,6,issue_hour_local_sin,0.0,0.0
cams_lgbm,6,issue_hour_local_cos,0.0,0.0
cams_lgbm,6,issue_day_of_year_sin,449.0,3.3683420855213804
cams_lgbm,6,issue_day_of_year_cos,452.0,3.390847711927982
cams_lgbm,6,target_hour_local_sin,0.0,0.0
cams_lgbm,6,target_hour_local_cos,0.0,0.0
cams_lgbm,6,target_day_of_year_sin,59.0,0.4426106526631658
cams_lgbm,6,target_day_of_year_cos,53.0,0.3975993998499625
cams_lgbm,6,network_pm25_mean_ug_m3,379.0,2.8432108027006753
cams_lgbm,6,nearby_pm25_weighted_mean_ug_m3,569.0,4.2685671417854465
cams_lgbm,6,nearby_station_count,52.0,0.3900975243810953
cams_lgbm,6,latest_pm25_age_hours,1.0,0.007501875468867217
cams_lgbm,6,cams_pm25_ug_m3,725.0,5.438859714928732
cams_lgbm,6,station_code_BANJARBARU2,0.0,0.0
cams_lgbm,6,station_code_BATAM2,11.0,0.08252063015753938
cams_lgbm,6,station_code_BENGKULU,81.0,0.6076519129782446
cams_lgbm,6,station_code_INDRAPURI2,0.0,0.0
cams_lgbm,6,station_code_JAMBI3,5.0,0.037509377344336084
cams_lgbm,6,station_code_JAMBI4,5.0,0.037509377344336084
cams_lgbm,6,station_code_KEMAYORAN3,6.0,0.0450112528132033
cams_lgbm,6,station_code_KOTABARU,16.0,0.12003000750187547
cams_lgbm,6,station_code_KOTOTABANG2,0.0,0.0
cams_lgbm,6,station_code_MALANG,1.0,0.007501875468867217
cams_lgbm,6,station_code_MAROS,7.0,0.05251312828207052
cams_lgbm,6,station_code_MEDAN2,0.0,0.0
cams_lgbm,6,station_code_MLATI,4.0,0.030007501875468866
cams_lgbm,6,station_code_PALANGKARAYA2,0.0,0.0
cams_lgbm,6,station_code_PALEMBANG3,40.0,0.30007501875468867
cams_lgbm,6,station_code_PALEMBANG4,0.0,0.0
cams_lgbm,6,station_code_PALU,0.0,0.0
cams_lgbm,6,station_code_PANGKALANBUN2,28.0,0.21005251312828208
cams_lgbm,6,station_code_PEKANBARU2,2.0,0.015003750937734433
cams_lgbm,6,station_code_PESAWARAN,18.0,0.1350337584396099
cams_lgbm,6,station_code_PONTIANAK2,1.0,0.007501875468867217
cams_lgbm,6,station_code_SAMARINDA2,8.0,0.06001500375093773
cams_lgbm,6,station_code_SEMARANG,74.0,0.5551387846961741
cams_lgbm,6,station_code_SINTANG,16.0,0.12003000750187547
cams_lgbm,6,station_code_SORONG,0.0,0.0
cams_lgbm,6,station_code_SUPADIO,17.0,0.1275318829707427
cams_lgbm,6,station_code_TANJUNGHARAPAN2,0.0,0.0
cams_lgbm,6,station_code_nan,0.0,0.0
cams_lgbm,6,region_Java,0.0,0.0
