forecast_hour,event_scope,model,station_code,n,mae_ug_m3,persistence_mae_ug_m3,frozen_mae_ug_m3
12,all_common_cases,persistence_10utc,SORONG,223,5.940807174887893,5.940807174887893,5.60601221505769
12,all_common_cases,persistence_10utc,SUPADIO,236,20.59237288135593,20.59237288135593,20.20724991202958
12,all_common_cases,persistence_10utc,TANJUNGHARAPAN2,193,9.291709844559586,9.291709844559586,6.179669706308025
12,all_common_cases,persistence_00utc,BANJARBARU2,238,21.78529411764706,7.928571428571429,6.680079130598013
12,all_common_cases,persistence_00utc,BATAM2,226,7.565044247787612,5.768141592920354,5.439067850999072
12,all_common_cases,persistence_00utc,BENGKULU,205,21.627804878048778,16.59073170731707,13.760696756563311
12,all_common_cases,persistence_00utc,INDRAPURI2,215,6.335813953488371,5.657209302325581,4.884883552290304
12,all_common_cases,persistence_00utc,JAMBI3,235,26.058723404255318,22.435744680851062,17.240675106642037
12,all_common_cases,persistence_00utc,JAMBI4,221,29.76606334841629,25.595022624434385,20.32479179428241
12,all_common_cases,persistence_00utc,KEMAYORAN3,237,19.40084388185654,6.79451476793249,8.66292287031731
12,all_common_cases,persistence_00utc,KOTABARU,203,6.191133004926108,5.243349753694582,4.375289528747661
12,all_common_cases,persistence_00utc,KOTOTABANG2,189,4.686772486772487,4.037566137566138,4.019327258645062
12,all_common_cases,persistence_00utc,MALANG,223,11.369058295964125,9.298654708520179,9.072276301013273
12,all_common_cases,persistence_00utc,MAROS,234,11.232478632478632,11.643589743589745,8.349554092922004
12,all_common_cases,persistence_00utc,MEDAN2,234,21.35042735042735,25.294017094017097,15.68014863421122
12,all_common_cases,persistence_00utc,MLATI,238,20.373949579831933,15.363865546218488,11.18482946676171
12,all_common_cases,persistence_00utc,PALANGKARAYA2,212,16.56367924528302,15.618867924528303,13.261909549956878
12,all_common_cases,persistence_00utc,PALEMBANG3,223,20.118385650224212,18.703587443946187,14.332513417889553
12,all_common_cases,persistence_00utc,PALEMBANG4,237,16.161603375527424,13.99113924050633,9.647842672117939
12,all_common_cases,persistence_00utc,PALU,73,4.701369863013698,4.5328767123287665,3.8255037533335057
12,all_common_cases,persistence_00utc,PANGKALANBUN2,214,12.529906542056075,7.62570093457944,6.595882689465559
12,all_common_cases,persistence_00utc,PEKANBARU2,228,33.1969298245614,31.24078947368421,24.22104400123099
12,all_common_cases,persistence_00utc,PESAWARAN,216,23.9125,19.91018518518518,19.657747764137405
12,all_common_cases,persistence_00utc,PONTIANAK2,195,31.561025641025644,7.78923076923077,8.905446704792976
12,all_common_cases,persistence_00utc,SAMARINDA2,215,6.264186046511629,4.909767441860465,5.01395054798367
12,all_common_cases,persistence_00utc,SEMARANG,231,12.106926406926407,8.678787878787876,8.099828127411397
12,all_common_cases,persistence_00utc,SINTANG,162,15.061111111111112,5.119135802469136,6.242421462885961
12,all_common_cases,persistence_00utc,SORONG,223,6.20269058295964,5.940807174887893,5.60601221505769
12,all_common_cases,persistence_00utc,SUPADIO,236,37.33728813559322,20.59237288135593,20.20724991202958
12,all_common_cases,persistence_00utc,TANJUNGHARAPAN2,193,10.21761658031088,9.291709844559586,6.179669706308025
12,all_common_cases,climatology_training_only,BANJARBARU2,238,6.420378151260503,7.928571428571429,6.680079130598013
12,all_common_cases,climatology_training_only,BATAM2,226,5.725884955752212,5.768141592920354,5.439067850999072
12,all_common_cases,climatology_training_only,BENGKULU,205,15.27170731707317,16.59073170731707,13.760696756563311
12,all_common_cases,climatology_training_only,INDRAPURI2,215,6.171162790697674,5.657209302325581,4.884883552290304
12,all_common_cases,climatology_training_only,JAMBI3,235,20.72808510638298,22.435744680851062,17.240675106642037
12,all_common_cases,climatology_training_only,JAMBI4,221,24.31357466063348,25.595022624434385,20.32479179428241
12,all_common_cases,climatology_training_only,KEMAYORAN3,237,9.916877637130803,6.79451476793249,8.66292287031731
