n,mae_ug_m3,rmse_ug_m3,bias_ug_m3,correlation,r2,split,forecast_hour,model,station_code,skill_vs_persistence_pct
237,9.114342966264669,14.069631308075932,-3.6851051506719927,0.6630654708043312,0.3609072500278634,test,3,obs_lgbm,MLATI,52.74339787782265
210,19.1349522702613,66.30004955608968,-16.28416835698129,0.7820127647822604,0.2240199874087635,test,3,obs_lgbm,PALANGKARAYA2,2.7789611740328457
229,7.732271454268055,11.103005503654972,0.5423806884000343,0.6867520872037397,0.441763574660861,test,3,obs_lgbm,PALEMBANG3,50.117188409516736
236,6.041747417008219,8.867312959193749,1.9612618063013363,0.8157431133612815,0.5764187935310492,test,3,obs_lgbm,PALEMBANG4,62.852949395218324
76,2.712779993281092,3.4974825207275098,-0.5625080236092227,0.8690121212552624,0.721302380819575,test,3,obs_lgbm,PALU,24.062143834488758
224,3.290237730164553,5.3736703141384,-1.0995854394518665,0.702374997183418,0.4543915049530083,test,3,obs_lgbm,PANGKALANBUN2,68.21848850552566
231,8.369784605470578,12.535718704928152,-2.7744073241854217,0.6808347876678121,0.4346562277964292,test,3,obs_lgbm,PEKANBARU2,34.805090239287026
219,7.679543278373962,12.143162240872346,-1.6577081454374358,0.7679698455898222,0.5819402265771141,test,3,obs_lgbm,PESAWARAN,40.110391782497764
227,19.19567536128811,59.8607428376481,-12.404756567967732,0.7349968463332958,0.30066650364401426,test,3,obs_lgbm,PONTIANAK2,30.96393569168224
221,3.7422280287815437,5.993807958984784,-1.1377495454286781,0.5689101874182393,0.27970849877974335,test,3,obs_lgbm,SAMARINDA2,16.772426853102452
236,7.030194224366634,9.773069822950745,-0.7125781087478371,0.6944583012275821,0.47944371871373703,test,3,obs_lgbm,SEMARANG,37.95108878602319
181,13.36884374390264,45.08248587846604,-11.117142885077651,0.7984098633344362,0.393236264816083,test,3,obs_lgbm,SINTANG,10.926867494427672
223,2.5829296424684087,4.267392562601348,-0.09461330352781833,0.8096227028341212,0.6552293977244659,test,3,obs_lgbm,SORONG,23.026418512567794
238,28.896143692225962,90.66111831043277,-20.285443184738654,0.6757156548508778,0.2175506294850723,test,3,obs_lgbm,SUPADIO,16.25020155692758
195,3.9837374930318465,7.131114528020405,-1.4737244131986735,0.8564243480027489,0.6696178843332934,test,3,obs_lgbm,TANJUNGHARAPAN2,-4.863500424029454
241,5.075077811775072,7.641623016590144,1.6019500249996472,0.46793865410824137,-0.06680843164174433,test,3,cams_lgbm,BANJARBARU2,76.66341507245058
228,4.081765930745629,5.8725971248952895,-0.2989739951700373,0.6277747537797758,0.39197219489511814,test,3,cams_lgbm,BATAM2,29.01276642181515
226,6.949554015966558,9.196328328596765,0.9456136993151751,0.7955469302394859,0.6276164896712155,test,3,cams_lgbm,BENGKULU,64.59504502584608
223,3.1127530839745767,4.277120846003854,-0.10188589419846752,0.726042321825637,0.5224970724516027,test,3,cams_lgbm,INDRAPURI2,5.2104413865450505
236,7.814306027215501,14.4921155722467,-2.6894464524076622,0.6612091436785492,0.41705869039963794,test,3,cams_lgbm,JAMBI3,38.10658402393413
224,5.354986205624718,9.523275644536835,0.28642812191729,0.8362318383950375,0.6946119320231829,test,3,cams_lgbm,JAMBI4,48.243143335349636
239,8.09508017230105,10.724825144780477,-0.76010533210535,0.8314270242263563,0.6880525833011095,test,3,cams_lgbm,KEMAYORAN3,41.80580637731002
211,2.270325693730575,2.8449074247223187,0.3709297595353788,0.7851576636579222,0.6077763320189121,test,3,cams_lgbm,KOTABARU,61.658498369045034
207,3.4775970923879194,6.043313474562108,-0.5862259603174783,0.7077266938905479,0.4905091102050543,test,3,cams_lgbm,KOTOTABANG2,15.519000337483957
228,7.345867401363087,10.212226889368711,-0.700389316486222,0.7301906528156376,0.5289372789313109,test,3,cams_lgbm,MALANG,15.899685286930254
238,3.478309526854122,4.332874279970587,0.36682264585042773,0.6021264703774916,0.253702562401238,test,3,cams_lgbm,MAROS,58.54178348401037
234,10.267026945919238,14.162214882485094,-3.5433686018708115,0.5264921847830226,0.22478288994240858,test,3,cams_lgbm,MEDAN2,37.08138735216055
237,8.086046771640197,12.7910022856798,-1.6071366549616748,0.7095924662820776,0.47178879469987367,test,3,cams_lgbm,MLATI,58.07497079679005
210,18.387849177980808,64.47689498550767,-15.162231254521492,0.794964938523863,0.26610984979810604,test,3,cams_lgbm,PALANGKARAYA2,6.5748493328179
229,7.649540166684247,11.032118035362272,0.6092162338111194,0.703039986820976,0.4488689737691073,test,3,cams_lgbm,PALEMBANG3,50.65090857901533
236,6.050877915774773,9.057515295286903,2.381765107454952,0.8238361153781804,0.5580524180051862,test,3,cams_lgbm,PALEMBANG4,62.79681148075119
76,2.8532086369897005,3.587478533745839,-0.2192911012606734,0.8661089467792646,0.7067751482117341,test,3,cams_lgbm,PALU,20.131176275794736
224,3.2525497064043134,5.0482945712809535,-0.4625111133116696,0.729692547407409,0.5184643289318143,test,3,cams_lgbm,PANGKALANBUN2,68.58252978721147
231,8.181984662528846,12.147585296932407,-1.8916115952293566,0.7031666539479519,0.46912282855485976,test,3,cams_lgbm,PEKANBARU2,36.26792362273523
219,7.68777260542163,11.86890775647786,-0.820759085257417,0.7763813330841968,0.6006108201002134,test,3,cams_lgbm,PESAWARAN,40.046214636160634
227,18.144957824671316,57.915134297410354,-11.021050332300174,0.7473304051494157,0.3453875480959351,test,3,cams_lgbm,PONTIANAK2,34.74277660571647
221,3.684208922825448,5.925079374443725,-1.0577799033547288,0.5832270200924101,0.29613237852982144,test,3,cams_lgbm,SAMARINDA2,18.062778308903702
236,6.948119832494421,9.488208016943007,0.276044772720271,0.7141433024121301,0.5093474242397706,test,3,cams_lgbm,SEMARANG,38.675482236856894
181,12.57596681252587,42.91388585654952,-9.599665137019311,0.7964443750019647,0.45020651531058875,test,3,cams_lgbm,SINTANG,16.20960049079061
223,2.5099926763433142,4.218342057202058,-0.11524392872016136,0.8144754178878423,0.6631096109293177,test,3,cams_lgbm,SORONG,25.200004433441247
238,28.458427964776398,88.98852824173251,-19.190132330722246,0.6841765803208296,0.24615484112846964,test,3,cams_lgbm,SUPADIO,17.518834643048553
195,3.8283935462880447,6.299324329822372,-0.8407923791122401,0.8714697718360627,0.7421960035121604,test,3,cams_lgbm,TANJUNGHARAPAN2,-0.7743981541804557
241,4.827473126803197,7.0191049377488035,1.241101147030399,0.48619408204553916,0.09992501403453047,test,3,cams_xgboost,BANJARBARU2,77.80196860278242
228,4.122991663949531,5.8767744470045535,-0.2631108451307865,0.6272668573727325,0.3911068771163715,test,3,cams_xgboost,BATAM2,28.295797148703816
226,6.961857020960445,9.155542457198871,1.1377041690117489,0.8006463747239865,0.630912219430833,test,3,cams_xgboost,BENGKULU,64.53236656664501
223,3.0897276600380117,4.264425332544827,-0.046694943723122634,0.7255821316212275,0.5253275502970612,test,3,cams_xgboost,INDRAPURI2,5.911611608838374
236,7.817480131731195,14.432668138545417,-2.343837805117591,0.6612111272245057,0.421831394240168,test,3,cams_xgboost,JAMBI3,38.08144344581278
224,5.612735713379722,9.633424034231556,0.8153258826051442,0.8317575875759153,0.6875067010888816,test,3,cams_xgboost,JAMBI4,45.75195030216355
239,8.082097076671394,10.646398873063161,-0.5113679207518503,0.8347223581020426,0.6925981906590604,test,3,cams_xgboost,KEMAYORAN3,41.899139706296594
211,2.361841152629581,2.9091422257005024,0.712510684655176,0.7842273578426309,0.5898644381535514,test,3,cams_xgboost,KOTABARU,60.112975571887176
207,3.5109895418231614,5.768823512087896,-0.10215834212187962,0.735258542339481,0.5357406238095265,test,3,cams_xgboost,KOTOTABANG2,14.707800122357206
228,7.272285486940752,10.169894291559011,-0.3274163049564026,0.7312556879350213,0.5328345635723735,test,3,cams_xgboost,MALANG,16.742099371203032
238,3.541297725068421,4.461456104960137,0.6489418302263533,0.5942254106409824,0.2087512747173358,test,3,cams_xgboost,MAROS,57.79102270801862
234,10.424464792267889,14.089241877822525,-3.003226150610508,0.5214906913849218,0.23275116038810884,test,3,cams_xgboost,MEDAN2,36.116573397478355
237,8.200655997553957,12.784841232000128,-1.0998369530786443,0.7019301124841778,0.4722975200925398,test,3,cams_xgboost,MLATI,57.48073788185762
210,18.13093326035,63.394094678385144,-14.692680331298284,0.804715317977871,0.2905522148268511,test,3,cams_xgboost,PALANGKARAYA2,7.880190054352532
229,7.798871552579788,11.151515756713152,1.4979442146667745,0.7036018164551603,0.43687492565200914,test,3,cams_xgboost,PALEMBANG3,49.68753456515279
