forecast_hour,feature,train_n,test_n,train_missing_pct,test_missing_pct,train_mean,test_mean,standardized_mean_difference,population_stability_index
3,target_day_of_year_cos,19737,6561,0.0,0.0,0.0006838869993717085,-0.20923391155375404,-0.2967598058415947,0.10599710533205735
3,network_pm25_mean_ug_m3,19737,6561,0.0,0.0,25.39396386231056,27.03851805352557,0.13518370649946196,0.03318897471368171
3,nearby_pm25_weighted_mean_ug_m3,17157,5626,13.071895424836603,14.250876390794087,26.62183282042804,29.230612492532117,0.10120550942304725,0.021506174284455844
3,nearby_station_count,19737,6561,0.0,0.0,2.7986016111871104,2.7683279987806735,-0.016633482131356042,0.00230963884899564
3,latest_pm25_age_hours,19737,6561,0.0,0.0,31.21558494198713,314.50708733424784,0.9668488768671083,0.0
3,cams_pm25_ug_m3,19597,6561,0.7093276587120637,0.0,13.128808899646552,15.299667977191435,0.20405638289961542,0.041900803558076995
6,pm25_lag_0h,18576,6084,5.88235294117647,7.270233196159122,25.471963824289404,27.38372781065089,0.06319219888765197,0.013897669689539266
6,pm25_lag_1h,18623,6079,5.644221512894563,7.346441091297058,22.953745368630187,24.835186708340185,0.06461002265445003,0.01945284024737589
6,pm25_lag_2h,18636,6105,5.578355373157015,6.95016003657979,21.794210130929386,23.915020475020476,0.07566347610102157,0.0208018216673288
6,pm25_lag_3h,18636,6088,5.578355373157015,7.209266880048773,22.065732989912,23.729862023653087,0.05375813762564717,0.01589039970713126
6,pm25_lag_6h,18647,6072,5.522622485686781,7.453132144490169,23.640944924116482,25.467276021080366,0.06972699736039262,0.01276893613034543
6,pm25_lag_12h,18735,6106,5.0767593859249125,6.934918457552203,27.64323992527355,27.880461840812313,0.00932299584199953,0.009539133934116446
6,pm25_lag_24h,18577,6079,5.877286315042813,7.346441091297058,25.47106098939549,27.05614410264846,0.05239628057324999,0.013293670890297284
6,pm25_lag_48h,18579,6076,5.867153062775498,7.392165828379821,25.467603207922924,26.83207702435813,0.04510733454374028,0.01294652748726068
